national_team_id,name,team_code,country_id,country_name,country_code,confederation,team_image_url,squad_size,average_age,foreigners_number,foreigners_percentage,total_market_value,coach_name,fifa_ranking,last_season,url
10521,San Marino,san-marino,144,San Marino,SMR1,UEFA,https://tmssl.akamaized.net//images/flagge/head/144.png?lm=1520611569,24,24.9,17,70.8,995000.0,,211,2025,https://www.transfermarkt.co.uk/san-marino/startseite/verein/10521
10533,Andorra,andorra,5,Andorra,AND2,UEFA,https://tmssl.akamaized.net//images/flagge/head/5.png?lm=1520611569,26,29.2,11,42.3,3380000.0,,173,2025,https://www.transfermarkt.co.uk/andorra/startseite/verein/10533
11953,Montenegro,montenegro,216,Montenegro,MNE1,UEFA,https://tmssl.akamaized.net//images/flagge/head/216.png?lm=1520611569,26,28.3,24,92.3,60130001.0,,81,2025,https://www.transfermarkt.co.uk/montenegro/startseite/verein/11953
13342,Guatemala,guatemala,58,Guatemala,GU1A,CONCACAF,https://tmssl.akamaized.net//images/flagge/head/58.png?lm=1520611569,21,25.2,6,28.6,5330000.0,,96,2025,https://www.transfermarkt.co.uk/guatemala/startseite/verein/13342
13497,Uganda,uganda,176,Uganda,UGL1,CAF,https://tmssl.akamaized.net//images/flagge/head/176.png?lm=1520611569,28,28.0,23,82.1,8700000.0,,88,2025,https://www.transfermarkt.co.uk/uganda/startseite/verein/13497
13941,Ethiopia,ethiopia,11,Ethiopia,ETP1,CAF,https://tmssl.akamaized.net//images/flagge/head/11.png?lm=1520611569,23,27.5,2,8.7,2780000.0,,144,2025,https://www.transfermarkt.co.uk/ethiopia/startseite/verein/13941
13951,El Salvador,el-salvador,45,El Salvador,SL1A,CONCACAF,https://tmssl.akamaized.net//images/flagge/head/45.png?lm=1520611569,20,24.9,4,20.0,3930000.0,,100,2025,https://www.transfermarkt.co.uk/el-salvador/startseite/verein/13951
13955,Fiji,fiji,48,Fiji,FIJ1,OFC,https://tmssl.akamaized.net//images/flagge/head/48.png?lm=1520611569,26,28.2,3,11.5,2450000.0,,154,2025,https://www.transfermarkt.co.uk/fiji/startseite/verein/13955
13957,India,india,67,India,IND1,AFC,https://tmssl.akamaized.net//images/flagge/head/67.png?lm=1520611569,23,28.7,0,,4800000.0,,136,2025,https://www.transfermarkt.co.uk/india/startseite/verein/13957
13958,Indonesia,indonesia,68,Indonesia,IN1L,AFC,https://tmssl.akamaized.net//images/flagge/head/68.png?lm=1520611569,23,26.4,13,56.5,30680000.0,,122,2025,https://www.transfermarkt.co.uk/indonesia/startseite/verein/13958
13975,Tajikistan,tajikistan,165,Tajikistan,TAD1,AFC,https://tmssl.akamaized.net//images/flagge/head/165.png?lm=1520611569,25,25.8,9,36.0,7780000.0,,103,2025,https://www.transfermarkt.co.uk/tajikistan/startseite/verein/13975
14162,Qatar,qatar,137,Qatar,QSL,AFC,https://tmssl.akamaized.net//images/flagge/head/137.png?lm=1520611569,25,27.9,1,4.0,18299999.0,,55,2025,https://www.transfermarkt.co.uk/qatar/startseite/verein/14162
14165,Oman,oman,126,Oman,OM1L,AFC,https://tmssl.akamaized.net//images/flagge/head/126.png?lm=1520611569,22,28.5,3,13.6,6100000.0,,79,2025,https://www.transfermarkt.co.uk/oman/startseite/verein/14165
15033,Bangladesh,bangladesh,16,Bangladesh,BGD1,AFC,https://tmssl.akamaized.net//images/flagge/head/16.png?lm=1520611569,23,25.8,5,21.7,7740000.0,,181,2025,https://www.transfermarkt.co.uk/bangladesh/startseite/verein/15033
15232,Dominican Republic,dominican-republic,43,Dominican Republic,DO1P,CONCACAF,https://tmssl.akamaized.net//images/flagge/head/43.png?lm=1520611569,23,24.3,19,82.6,18030001.0,,143,2025,https://www.transfermarkt.co.uk/dominican-republic/startseite/verein/15232
15234,Philippines,philippines,134,Philippines,PFL1,AFC,https://tmssl.akamaized.net//images/flagge/head/134.png?lm=1520611569,23,27.8,21,91.3,6180000.0,,135,2025,https://www.transfermarkt.co.uk/philippines/startseite/verein/15234
15351,Nicaragua,nicaragua,121,Nicaragua,CNIC,CONCACAF,https://tmssl.akamaized.net//images/flagge/head/121.png?lm=1520611569,23,27.6,5,21.7,2580000.0,,131,2025,https://www.transfermarkt.co.uk/nicaragua/startseite/verein/15351
15357,Singapore,singapore,153,Singapore,SIN1,AFC,https://tmssl.akamaized.net//images/flagge/head/153.png?lm=1520611569,27,27.7,8,29.6,3930000.0,,147,2025,https://www.transfermarkt.co.uk/singapore/startseite/verein/15357
15363,Chinese Taipei,chinese-taipei,164,Chinese Taipei,TFPL,AFC,https://tmssl.akamaized.net//images/flagge/head/164.png?lm=1679300082,23,26.3,9,39.1,1920000.0,,174,2025,https://www.transfermarkt.co.uk/chinese-taipei/startseite/verein/15363
15737,Jordan,jordan,78,Jordan,JO1L,AFC,https://tmssl.akamaized.net//images/flagge/head/78.png?lm=1520611569,26,27.1,15,57.7,15980000.0,,63,2025,https://www.transfermarkt.co.uk/jordan/startseite/verein/15737
15738,Malaysia,malaysia,103,Malaysia,MYS1,AFC,https://tmssl.akamaized.net//images/flagge/head/103.png?lm=1520611569,28,28.5,4,14.3,7150000.0,,138,2025,https://www.transfermarkt.co.uk/malaysia/startseite/verein/15738
15977,Hong Kong,hong-kong,218,Hongkong,HGKG,AFC,https://tmssl.akamaized.net//images/flagge/head/218.png?lm=1520611569,23,28.5,9,39.1,3600000.0,,155,2025,https://www.transfermarkt.co.uk/hong-kong/startseite/verein/15977
16038,Cambodia,cambodia,79,Cambodia,KHM1,AFC,https://tmssl.akamaized.net//images/flagge/head/79.png?lm=1520611569,23,25.6,1,4.3,2380000.0,,177,2025,https://www.transfermarkt.co.uk/cambodia/startseite/verein/16038
16423,Myanmar,myanmar,116,Myanmar,MYA1,AFC,https://tmssl.akamaized.net//images/flagge/head/116.png?lm=1520611569,23,25.9,6,26.1,3100000.0,,158,2025,https://www.transfermarkt.co.uk/myanmar/startseite/verein/16423
16430,Comoros,comoros,35,Comoros,COM1,CAF,https://tmssl.akamaized.net//images/flagge/head/35.png?lm=1520611569,21,23.9,21,100.0,3280000.0,,109,2025,https://www.transfermarkt.co.uk/comoros/startseite/verein/16430
16431,Laos,laos,91,Laos,LAO1,,https://tmssl.akamaized.net//images/flagge/head/91.png?lm=1520611569,23,23.1,2,8.7,1300000.0,,185,2025,https://www.transfermarkt.co.uk/laos/startseite/verein/16431
17759,Puerto Rico,puerto-rico,228,Puerto Rico,PRA1,CONCACAF,https://tmssl.akamaized.net//images/flagge/head/228.png?lm=1520611569,24,23.3,19,79.2,1180000.0,,156,2025,https://www.transfermarkt.co.uk/puerto-rico/startseite/verein/17759
3262,Germany,germany,40,Germany,L1,UEFA,https://tmssl.akamaized.net//images/flagge/head/40.png?lm=1520612525,25,28.0,9,36.0,773500000.0,,10,2025,https://www.transfermarkt.co.uk/germany/startseite/verein/3262
3299,England,england,189,England,GB1,UEFA,https://tmssl.akamaized.net//images/flagge/head/189.png?lm=1520611569,35,27.3,4,11.4,,,4,2025,https://www.transfermarkt.co.uk/england/startseite/verein/3299
3300,Portugal,portugal,136,Portugal,PO1,UEFA,https://tmssl.akamaized.net//images/flagge/head/136.png?lm=1520611569,26,27.1,19,73.1,864500000.0,,5,2025,https://www.transfermarkt.co.uk/portugal/startseite/verein/3300
3375,Spain,spain,157,Spain,ES1,UEFA,https://tmssl.akamaized.net//images/flagge/head/157.png?lm=1520611569,27,26.7,8,29.6,,,2,2025,https://www.transfermarkt.co.uk/spain/startseite/verein/3375
3376,Italy,italy,75,Italy,IT1,UEFA,https://tmssl.akamaized.net//images/flagge/head/75.png?lm=1520611569,28,26.6,5,17.9,833500000.0,,12,2025,https://www.transfermarkt.co.uk/italy/startseite/verein/3376
